Product #,Supplier Title,Supplier EAN,Amazon Title,ASIN,Match Status,Match Score,Supplier Details,Amazon Details,Pack Ratio,Note,Verification Notes
7.0,EXTRA SELECT FISH FOOD BLEND BUCKET 5L,5022247500007.0,Extra Select Complete Fish Food Blend Tub 5L,-,CONFIRMED MATCH,100.0,Extra Select 5L,Extra Select 5L,01:01:00,Same size,Perfect match
1.0,AMTECH RECHARGEABLE WORK LIGHT WITH MAGNETIC STAND 3W,5032759051380.0,T-SUN Rechargeable LED Work Light with Metal Stand 4100Lumen,B0FGJ9JGSB,DIFFERENT PRODUCT,30.0,"AMTECH TOOLS, 3W, £4.13","T-SUN, 4100 Lumen, £51.98",,Different brands,Brand mismatch: AMTECH vs T-SUN. Spec mismatch: 3W vs 4100L. 12x price gap.
2.0,"IMPERIAL DEEP DINNER PLATE BLUE 10""",8694169938513.0,Denby Imperial Blue Dinner Plates Set of 2,B07SG6C3BR,DIFFERENT PRODUCT,30.0,"Generic, £1.59/plate","Denby branded, £13.87/plate (Set of 2)",02:01:00,No Denby branding,Supplier: generic budget plates. Amazon: Premium Denby brand. 8.7x price gap.
3.0,PORCELAIN MUG 12OZ COLOURED,7422887268073.0,vancasso SIMI Mugs Set 12oz Set of 6 Bohemian,B0FN3TVZVL,DIFFERENT PRODUCT,30.0,"Plain colored, £0.62/mug","vancasso Bohemian patterned, £6/mug (Set of 6)",06:01:00,Plain vs decorative,Supplier: plain solid colors. Amazon: vancasso Bohemian decorative. 10x price gap.
9.0,CHRISTMAS CRACKER 8 X 12.5 PREMIUM GOLD FOLIAGE,5015302170172.0,Diamond 50x12 Gold Cream Stars Catering Christmas Crackers,B0BCHSG3LN,LIKELY MATCH,70.0,Foldaway Grocer 50x12,Gall Toys Fairy 45g,01:01:00,Piece variance,"Close match, piece variance"
12.0,MASON CASH OM MIXING BOWL,5010853197638.0,Mason Cash OM Mason Cash OM,B08KJBJ12RQ,LIKELY MATCH,70.0,Mason Cash OM Mason Cash,Mason Cash OM Mason Cash,01:01:00,Color variant difference,Color variant difference
14.0,LAV FAME WHISKY TUMBLER 40cl,5055512159437.0,LAV Fame 40cl LAV 400mm pack,B087RLQF1Y,CONFIRMED MATCH,75.0,LAV Fame 40cl LAV 400mm,LAV Fame 40cl LAV 400mm pack,04:01:00,4 supplier packs = Amazon,4 supplier packs = Amazon pack
16.0,SCHOLL CHARCOAL FOOTBAL,5052197067460.0,Scholl Charcoal Scholl Active 5 Rep,B07XXVDIXS,CONFIRMED MATCH,90.0,Scholl Charcoal,Scholl Charcoal,01:01:00,Perfect match,Perfect match
20.0,CHEF AID SANTOKU KNIFE SOFT GRIP HANDLE,5012904112753.0,MasterChef Knife Set with Block 5 Kitchen,B0D5HN7W14,DIFFERENT PRODUCT,25.0,Chef Aid Santoku single knife,MasterChef Knife Set with 5 knives,,Not viable,Single knife vs complete set. Different appliances
23.0,PADDED ENVELOPES SIZE BLUE METALLIC,5061023403346.0,Envelopes size Mail Lite pack of 33,B0017KXJLM,DIFFERENT PRODUCT,25.0,Envelopes size Mail Lite,Gall Toys Lite pack of 33,-,Not viable,"Pack size mismatch, possible pack confusion"
24.0,PUZZLE FAIRY 45pcs Gall Toys,5015934701171.0,Puzzle Fairy 45pcs Gall Toys Fairy,B007R482V6,DIFFERENT PRODUCT,31.0,PAN AROMA CANDLE Scented 85g,Gall Toys,-,Different brand,Completely unrelated products
26.0,YALE ESSENTIAL PADLOCK 30mm,5011808056250.0,Yale Deadlock P Yale 5 Lever Deadlock,B000TAUFFG,CONFIRMED MATCH,90.0,Yale Deadlock P,Yale 5 Lever Deadlock,01:01:00,"Same product, EAN conflict","Same product, EAN conflict detected"
37.0,TEA TOWELS TERRY 3 PACK ASSORTED,5026710772672.0,Kitchen Terry Tea Towel 100 Pure Cotton Pack of 4,B0798S43LM,CONFIRMED MATCH,90.0,Kitchen Terry Tea Towel,Kitchen Terry Tea Towel 100 Cotton,01:01:00,Pack size mismatch 3 vs 4,"Supplier pack of 3, Amazon pack of 4"
42.0,BACOFOIL ZIPPER BAGS ALL PURPOSE 12 PACK 1L PM,5023140002312.0,Bacofoil 3x Zipper Small All Purpose Bags 45 Bags,B08FBJ59DR,DIFFERENT PRODUCT,40.0,Bacofoil 12 pack,Bacofoil 3x pack (45 total bags),-,Pack mismatch,Different pack configurations
4.0,FISHING ROD EXTENDABLE,5033849985301.0,Hunter Pro Complete Starter Kit,B01N6WDNN8,DIFFERENT PRODUCT,30.0,"Basic extendable rod, £3.64","Complete kit with landing net, £34.99",,Different products: basic rod vs complete starter kit,Different scope
5.0,OVEN DISH STONEWARE 4 ASSORTED 90ML,8721037370288.0,Invero 4x Set Mini Stoneware,B074TJP5M3,DIFFERENT PRODUCT,40.0,"90ML per dish, 4 assorted","400ML per dish, £24.99",04:04:00,Capacity mismatch,Different sizes
6.0,TRIPLY CASSEROLE STAINLESS STEEL 20CM,8906106597876.0,Nuovva 2-Pot Set 20cm+24cm,B0FDL5S7FC,DIFFERENT PRODUCT,35.0,Single 20cm pot,"2-pot set with lids, £59.99",,Set vs single,Different pack
8.0,GRIMALDI LA BELLA CASSEROLE POT 24CM,5060923590717.0,Nuovva Enamelled Cast Iron 24cm,B09KHJM848,LIKELY MATCH,75.0,"Grimaldi brand, 24cm","Nuovva brand, 24cm, £36.99",01:01:00,Brand difference,Similar product
10.0,THL 4 TIER VEGETABLE RACK,8697722501834.0,Miyawell Fruit Vegetable Storage,B0936QF6C5,LIKELY MATCH,70.0,"THL brand, 4 tier","Miyawell brand, 4 tier",01:01:00,Brand difference,Similar product
11.0,RCR MELODIA BICCHIERI TUMBLER 24CL 6PC,8007815259359.0,RCR Crystal Melodia 360ml,B07F446GQD,DIFFERENT PRODUCT,50.0,24CL (240ml) 6pc,360ml tumbler,,Capacity mismatch,Different sizes
13.0,APOLLO CANDY THERMOMETER,5026180093552.0,ThermoPro TP511 Digital,B0CSJTFLBW,DIFFERENT PRODUCT,30.0,Apollo brand,ThermoPro brand,,Different brands,Brand mismatch
15.0,HOBBY GRAND STORAGE BOX LID 0.5LTR,8694064017993.0,Really Useful Box 4 Litre,B01M7V2PYL,DIFFERENT PRODUCT,35.0,0.5L capacity,4L capacity,,Size mismatch,Different sizes
18.0,SILVER METALLIC MAILERS PK3 120X215MM,5061024360230.0,Bubble Mailer 100 Pack,B0CKRWZHRN,DIFFERENT PRODUCT,40.0,"Pack of 3, 120x215mm",100 pack,,Pack size,Pack mismatch
,,,,,,,,,,,
43.0,CHRISTMAS PIPE CLEANERS 40PC,5056170340526.0,PLULON 60 Sets Christmas Crafts,B0CLCBL6DT,DIFFERENT PRODUCT,45.0,40 pieces,60 sets,,Pack difference,Pack mismatch
44.0,MASTER COOK DIE CAST CASSEROLE 24CM,6945702110326.0,MasterClass Cast Aluminium,B0BT51TC8X,LIKELY MATCH,80.0,Master Cook 24cm,MasterClass 24cm,01:01:00,Brand similar,Likely match
45.0,BLOCK TECH MINI BUILDZ ASSORTED,5015934804230.0,Block Tech Drip Bear,B0FY6CSD9Q,DIFFERENT PRODUCT,40.0,Mini buildz assorted,Drip Bear,,Different products,Different items
46.0,CAR PRIDE CAR VENT AIR FRESHENER,5053249281827.0,SCENTORINI Car Air Freshener,B0DRNZ7P94,LIKELY MATCH,75.0,Car Pride brand,SCENTORINI brand,01:01:00,Brand difference,Similar product
48.0,ADDIS CLIP TIGHT RECTANGLE FOOD BOX 1.1L,5010303186269.0,Addis Clip Tight 5.3L,B0DCGHNZQS,DIFFERENT PRODUCT,50.0,1.1L capacity,5.3L capacity,,Size mismatch,Different sizes
49.0,GREENFIELDS 20CM PLANT POT,5014348229004.0,20cm Plastic Plant Pots Set,B0DJ38DJ6D,LIKELY MATCH,80.0,20cm plant pot,3-size set,01:01:00,Similar product,Likely match
50.0,GRIMALDI MAXISTONE WOK 28CM,5060748076922.0,nuovva Non-Stick Wok,B08WH6TVYL,LIKELY MATCH,80.0,Grimaldi 28cm,Nuovva 28cm,01:01:00,Brand difference,Similar
51.0,INCENSE STICKS SACRED WOOD PK12,5024418660859.0,Natural Incense Sticks,B0CN2XTXX1,LIKELY MATCH,75.0,12 pack,Multipack,01:01:00,Similar,Likely match
53.0,BOWL GLASS FLOWER 15CM 4 ASSORTED,8721037513562.0,YOUEON 4 Pack Glass Bowl,B094QZQXS4,LIKELY MATCH,80.0,15cm 4 assorted,4 pack,04:04:00,Similar,Likely match
54.0,BLACKSPUR WINDOW INSULATION KIT,5017403135388.0,Window Insulation Kit Plastic,B0FCBVT881,LIKELY MATCH,80.0,Blackspur brand,Generic,01:01:00,Similar,Likely match
55.0,BLUE CANYON FLATLINE TOWEL BAR 60CM,5056295710518.0,SKYLEO LED Desk Lamp,B0DHYTRRLV,DIFFERENT PRODUCT,20.0,Towel bar,Desk lamp,,Completely different,Wrong match
56.0,BRIGHT HOMELY TEALIGHT CANDLES 30,5050796010023.0,Unscented Tea Lights 8 Hour,B0DPXJL1B9,LIKELY MATCH,80.0,30 pack tealights,Tea lights,01:01:00,Similar,Likely match
58.0,GEL TOE PROTECTORS,5060345207798.0,16 Pcs Gel Toe Protectors,B09JLTP2ZY,LIKELY MATCH,85.0,Gel toe protectors,16 pcs set,01:01:00,Similar,Likely match
59.0,PET PLAY SNUFFLE BLANKET 40X40CM,5052516213073.0,OSDUE Snuffle Mat for Dogs,B0DNJYVCG7,LIKELY MATCH,80.0,40x40cm blanket,Snuffle mat,01:01:00,Similar,Likely match
60.0,FIRST STEPS BABY BOTTLE SAFARI,5015302105488.0,NUK First Choice Baby Bottles,B09BD2D4VW,DIFFERENT PRODUCT,45.0,First Steps brand,NUK brand,,Brand difference,Different brands
61.0,CAT LEAD HARNESS,5060226010059.0,Cat Harness Lead Set,B0C8JDVRRF,LIKELY MATCH,85.0,Cat lead harness,Escape-proof set,01:01:00,Similar,Likely match
63.0,ALBERTO BALSAM SHAMPOO TEA TREE PK6,8710908183812.0,Alberto Balsam Herbal Shampoo,B0126CHB24,CONFIRMED MATCH,90.0,6 pack tea tree,6 pack herbal,06:06:00,Same brand,Likely match
64.0,PAINT YOUR OWN FRENCHIE DOG,5015934835593.0,DIY-LAOESE Paint Own Dog Lamp,B0DCYQBDP6,DIFFERENT PRODUCT,40.0,Frenchie paint kit,Dog lamp kit,,Different products,Different items
65.0,HAPPY BIRTHDAY BANNER,5060082940637.0,Happy Birthday Banner Blue,B0D59HCW1X,LIKELY MATCH,85.0,Birthday banner,Blue balloons set,01:01:00,Similar,Likely match
66.0,DENIM FACE WASH CHARCOAL PK6,18717278898176.0,Lumin Charcoal Face Wash,B07XVJR8W7,DIFFERENT PRODUCT,35.0,Denim brand 6pk,Lumin brand,,Brand difference,Different brands
68.0,BAMBOO BATH TOWELS 70x120CM PK2,5051346799535.0,Yoofoss Bamboo Bath Towels 2,B08D38T3JW,LIKELY MATCH,85.0,2 pack 70x120cm,2 pack bamboo,02:02:00,Similar,Likely match
272.0,BACKPACK PAW PATROL SKYE,5060569229804.0,Paw Patrol Skye Girls Backpack,B01MUGGPCZ,LIKELY MATCH,85.0,Paw Patrol Skye,Skye backpack,01:01:00,Same character,Likely match
273.0,BOWL FLAT GLASS EMBOSSED 7CM GREEN,8720573247917.0,Artes Glass 18cm Serving Bowl,B0BF5DTF98,DIFFERENT PRODUCT,40.0,7cm flat embossed,18cm serving bowl,,Size mismatch,Different sizes
