source,local_idx,label_binary,split,kind,SupplierTitle,AmazonTitle
pw,61,1,train,clean_pos,Pets Play Squeaking Grab Dog Toy Assorted,Pets Play Squeaking Grab Toy
pw,4319,0,train,clean_neg,First Steps Teddy Bear Baby Blanket,"Byuert Remote Control Car, 6WD RC Stunt Car with Spray and Light, 360° Rotation and Drift Vehicles, 2.4Ghz Radio Controlled Electric Buggy RC Offroad Toy for Adults and Kids"
pw,209,1,train,clean_pos,Just Stationery Pre-Strung Tie-On Tags 13 X 20mm 200 Pack,"Just stationery 13 x 20 mm Pre Strung Tag (Pack of 200), White, 4257.0"
pw,64,1,train,clean_pos,Munch & Crunch Tasty Bites Bikkies 300g,Munch & Crunch Dog Treats Bikkies Tasty Bites - 300g
pw,190,1,train,clean_pos,Smart Choice Squeaky Plush Long Animal Dog Toy 36cm Assorted,Smart Choice World of pets Plush Pompom Animal Cat Toy W/catnip
pw,3090,0,train,clean_neg,Cotton Tree Baby Oil 300ml,"Homefront XV2000 Toning Belt Muscle Stimulator, Abs Trainer Abdominal Toner Electronic Workout Home Fitness Device with Extension Belt Abdomen Arm Leg Men And Women - no gel required"
pw,7060,0,train,clean_neg,Dekton 2pc Hooks 8mm,"TOX Pirate Longbird-L hook dowel, plug 8 x 80 mm, hook 6 x 97 mm, 2 pieces, 051701421, white"
pw,699,1,train,clean_pos,Christmas Flashing LED Snap Band Assorted,Assorted Christmas Flashing Led Snap Band
pw,2841,0,train,clean_neg,Forever Beautiful 2-in-1 Concealer & Blender Brush,"Mould King Black Pearl Pirate Ship Building Blocks Toy Set, 5266 Pieces Large Pirate Ship for Adults, MOC Sailing Ship Model Kit Gift"
pw,222,1,train,clean_pos,Cotton Tree Petroleum Jelly With Cocoa Butter 226g,Cotton Tree Jumbo Petroleum Jelly 226G Cocoa Butter Daily Skin Body Care
efg,1811,0,train,clean_neg,151 GLUE SHOE FIX 30ML,Sesderma Sensyses Cleanser Lightening – Make-up Remover & Skin Brightening – Restores Luminosity – 200 ml
pw,3629,0,train,clean_neg,Squeezy Frog & Spawn Ball Squish Toy CDU,LEGO Harry Potter Knight Bus Adventure - Wizarding World Toy with 5 Collectible Minifigures plus Accessories incl. Wands - Prisoner of Azkaban Gift for 8+ Year Old Girls & Boys - 76446
pw,271,1,train,clean_pos,Cotton Tree Biodegradable Cotton Buds 200 Pack,Cotton Tree 200 Cotton Buds
pw,159,1,train,clean_pos,Auto Extreme Professional Silver Wheel Spray Paint 400ml,"Auto Extreme Silver Wheel, 400 ml"
pw,476,1,train,clean_pos,Kids Create Assorted Paint & Paint Brush Set 20pc,Kids Create Paint Including 18 Paints & 2 Brushes In Reusable Pouch
pw,1012,1,train,clean_pos,Bin Brite Spring Blossom Bin Odour Neutraliser 500g,Bin Brite Berry Blast
pw,1750,1,train,clean_pos,Artbox Assorted Fun Stampers 26 Pack,"ART BOX Fun Stampers, Mixed, 3.8 cm"
pw,185,1,train,clean_pos,151 Hard As Nails Super Glue 20g,151 Hard As Nails Adhesive Super Glue
pw,1906,1,train,ambig_pos_packdiff,151 PVC Tape 18mm X 15m 2 Pack,PVC Tape - Black 3pk
pw,3192,0,train,clean_neg,Sealapack Assorted Storage Clips 12 Pack,Batterytec Replacement Battery for Lenovo ThinkPad S5 S530 S531 S540 45N1164 45N1165 45N1166 45N1167.
pw,2969,0,train,clean_neg,Wholesale Pps Clear Stem Plastic Reusable Cocktail Glasses 190ml 4 Pack | Pound Wholesale,Sekond POA-LMP114 / 6103365404 Replacment Lamp with Housing for SANYO PLC-XWU30 / PLV-Z2000 / PLV-Z700 / LP-Z2000 / LP-Z3000 / PLV-1080HD / PLV-Z3000 / PLV-Z4000 / PLV-Z800 Projectors
pw,4102,0,train,clean_neg,Murder Motel Make-Up Set,"Makeup Brushes Zoreya Makeup Brush Set Premium Foundation Brush Kabuki Brush With Soft and Cruelty-Free Synthetic,for Cosmetics Foundation Concealers Powder Blush Blending Face Eye Shadows Brush Sets"
efg,2845,0,train,clean_neg,THL SPOON PLASTIC LUX REUSABLE 25PCS,"CAMRI Gold Teaspoons Set of 6 – Stainless Steel Tea Spoons, 5.3 inches, Golden Mirror Finishing Teaspoon for Dessert & Coffee, Sturdy, Cutlery Spoon Set for Home & Restaurant(C37-6 Pcs)"
pw,6717,0,train,clean_neg,Elbow Grease Dishwasher Cleaner 250ml,adidas Unisex Adilette Aqua Slides
pw,1108,1,train,clean_pos,Adult Colouring Book  3&4 2 Assorted Designs,ADULT COLOURING STRESS RELIEVING PATTERNS AND DESI
pw,4654,0,train,clean_neg,Jokes And Gags Super Sizzlers Noise Magnets,"GodbTG 4 Pack Annoyatron Random Noise Maker, Annoyatron 3.0 Noise Maker Prank, Annoy A Tron Prank, Hidden Pranks Beeping Several Months, Funny Office Pranks for Adults (Blue)"
pw,4910,0,train,clean_neg,Marksman Dust Masks 12pc,FFP3 Masks Pack of 10 With >99% Filtration Efficiency - Disposable Face Mask UK - Soft And Secure Fit (Packaging may vary)
pw,492,1,train,clean_pos,Elysium Spa Epsom Salts Lavender 1kg,Elysium Spa Lavender Epsom Salts | Relaxing Bath with 100% Natural Mineral Salts for Muscle Relief Sleep Promotion and Skin Softener (1kg)
pw,54,1,train,clean_pos,Petit Collage 48 Page Baby Journal,"Petit Collage PTC466 Baby Journal, Multi"
efg,2615,0,train,clean_neg,IRON PADLOCK 30MM,PDL50 [Never-Rust] Heavy Duty Waterproof Outdoor Padlock with 3 Keys - Stainless Steel - [10mm Anti-Cut Shackle] - [High Security Protection] - Ideal Gate or Shed Lock
pw,205,1,train,clean_pos,Pan Aroma Incense Sticks Gift Set 4 Pack,"Pan Aroma 4Pk Gift Pack Incense Sticks,PAN0079A"
pw,2851,0,train,clean_neg,"Marksman 4"" Gloss And Emulsion Roller Set 2pcs","Telescopes for Adults Astronomy, 80mm Aperture 900mm Professional Refractor Telescope for Kids & Beginners, Compact and Portable Travel Telescopio with Carrying Bag and Designed Phone Adapter"
pw,4920,0,train,clean_neg,First Steps Water Filled Teether Star 2 Assorted,"Hooku 2 Pack Silicone Teethers for Babies 0-6 Months, Teething Toys for Babies 6-12 Months, Baby Remote Control Toy, Infant Toys 0-3 Months, Sensory Chew Toys, Toddler Newborn Baby Gifts"
efg,664,1,train,clean_pos,KINGFISHER FOIL 6 DISH & LIDS KCF2,"Kingfisher Foil Food Containers and Lid, Silver, Large, Pack of 6"
pw,4238,0,train,clean_neg,Jokes & Gags Giant Stress Ball,"Ecoseao Acrylic Display Case with Mirror, Clear Acrylic Organizer Box Assemble Countertop Dustproof Protection Showcase for Action Figures, Collectibles, Home Storage (25cmx15cmx15cm)"
pw,5698,0,train,clean_neg,Marksman Ratchet Socket Set 40pc,"Paw Patrol, 10th Anniversary, All Paws On Deck Toy Figures Gift Pack with 10 Collectible Action Figures, Kids' Toys for Ages 3 and up"
pw,352,1,train,clean_pos,Prima Tennis Balls 2 Pack,Prima Tennis Balls For Outdoor Sports Cricket Beach Leisure 2 x Balls
pw,5597,0,train,clean_neg,Swat Team Helmet With Visor Gun Play Set (Approx 30cm X 20cm),"d'Alba Italian White Trufe Waterfull Tone-up suncreen SPF 50+ PA++++,Vegan hybrid UV filters tinted suncreen, glow and brightening suncreen, Safe use for dry and sensitive skin, Korean skincare"
pw,148,1,train,clean_pos,Pan Aroma Plug-In Lavender & Ylang Ylang Air Freshener,Pan Aroma Plug in Air Freshener Lavender & Ylang
efg,2997,0,train,clean_neg,BEAUTY BACK BRUSH,"LOPHE Exfoliating Back Scrubber for Shower, 34 Inches Back Scrubber with Handles, Double Sided Body Exfoliator Bath Tool, Exfoliating Washcloth to Scrub Your Body Deeply for Men & Women (Blue Gray)"
pw,5757,0,train,clean_neg,Dekton Puncture Repair Kit In CDU,"﻿3 Pack Flush Valve Seal for Ideal Standard,Black Rubber Flush Valve Seal & Clip,Replace of SV01967,SV93467,EV98167"
efg,89,1,train,clean_pos,FEBREZE AIR FRESHENER ALPINE ESCAPE 185ML PK8,"Febreze Air Freshener Spray, Mrs Hinch's Alpine Escape, 185ml, Pack of 3 with Free Fridge Magnet"
pw,5078,0,train,clean_neg,Dekton 107mm X 175mm Hook & Loop Palm 120 Grit Sanding Sheets 5 Pack,FINGERINSPIRE Clear Acrylic Display Case with Black Base & 4 Pcs Rubber Rings 16x16x15cm Cube Clear Self-Assembly Acrylic Box Dustproof Protection Showcase for Action Figures Collectibles Toys
pw,438,1,train,clean_pos,Magical Kingdom Enchanted Eggs CDU 12pc,magical kingdom Enchanted Egg
pw,1081,1,train,ambig_pos_packdiff,Masterplast Sport Plasters Assorted 40 Pack,"Masterplast Sports Plasters, Flexible, Durable Pack of 60, Natural"
pw,5113,0,train,clean_neg,Lisseau Luxury Bath Mitt,Love Cocobo | Exfoliating Glove | Eco PLASTIC FREE Body Scrub Mitt | Dead Skin Exfoliator | Tan Remover | Shower Body Exfoliator Mitts | Targets Keratosis Pilaris Ingrown Hair | Kessa Gloves | 2Pcs
pw,5277,0,train,clean_neg,Red & White Striped Biodegradable Paper Straws 50 Pack,"Grangers Performance Wash | 300ml | Cleans, Refreshes and Restores the Appearance of All Outdoor Clothing"
pw,563,1,train,clean_pos,Elysium Spa Calm Ylang Ylang Shower Steamer Tablets 3 Pack,Elysium Spa Shower Steamers Infused with Essential Oils – Ylang Ylang (3 Pack)
pw,5057,0,train,clean_neg,Marksman Anti-Slip Tape 48mm X 5m,Nicolababe Weapon Pack 225 PCS Accessories Military Weapon Set Incl Helmet Body Armor Cloak and Motorcycles Designed for Minifigures Compatible with Minifigures of Major Brands (SWAT Weapon)
efg,202,1,train,ambig_pos_packdiff,KINGFISHER PAPER PLATES 7INCH 30PCS,"Kingfisher Paper Disposable Plates, White, 7-Inch, Pack of 35"
pw,6599,0,train,clean_neg,"Hoot Inflatable Sprinkler Beach Ball 43""","LEGO Star Wars: The Clone Wars Darth Maul Mech Building Toy for Boys, Girls, Fans and Fantasy Lovers Aged 6 Years Old Plus, Gift Idea for Kids, Includes a Large Double-Bladed Red Lightsaber 75411"
pw,226,1,train,clean_pos,Kids Create Make Your Own Wooden Bead Jewellery Set,Kids Create Make Own Style Bracelets & Necklaces Jewellery Sets Wooden Beads 5+
pw,594,1,train,clean_pos,Elbow Grease Berry Blast Toilet Tablets 30g 5 Pack,Elbow Grease Toilet Cleaner Tabs - No Scrubbing Needed | Removes Up To 100% Limescale (Berry Blast - Pack of 5 Tablets)
efg,17,1,train,clean_pos,STATUS DIMMABLE LED CANDLE BC W/W 5.5W 40W,"Status Dimmable LED Candle Bulb Bayonet Cap, 5.5W"
pw,84,1,train,clean_pos,Smart Choice Meat-Free Yummy Puffed Twists Dog Treats 3 Pack 120g Assorted Flavours,Smart Choice Meat Free Mega Stick Dog Treat 120g 3pk
pw,1173,1,train,clean_pos,Bin Brite Berry Blast Bin Odour Neutraliser 500g,Bin Brite Citronella & Lemongrass
pw,6983,0,train,clean_neg,First Steps My First Gripping Ball 10cm 2 Assorted,"12 Pcs Christmas Gingerbread Decorations, Assorted Christmas Gingerbread Ornaments, Mini Ginger Man Clay Figurine with Strings, Hanging Christmas Tree Ornaments small, for Xmas Tree, Party, Home"
efg,2259,0,train,clean_neg,MARKSMAN WALL PLUGS 6MM,"fischer DuoPower 6 x 30, Powerful Universal Plug with Intelligent 2-Component Technology for fastenings in Concrete, Bricks, Gypsum plasterboard, chipboard, etc., 100 Plugs Without Screws"
efg,748,1,train,clean_pos,KINGFISHER FOIL SET4 PLATTERS,"Kingfisher Foil Platter, Silver, 11-Inch, Pack of 4"
pw,1886,1,train,clean_pos,Artbox Alphabet & Numbers Stencil Set 2 Pack,"Art Box Box Alphabet Stencil Set, 1071"
efg,1799,0,train,clean_neg,INTERDENTAL BRUSHES 6 PACK ASSORTED,15pcs Chuck Compatible with Dremel Rotary Tool Accessories 0.8mm to 3.2mm Replacement 4486 Quick Change Chuck Replacement 4485 Brass Collet Metal Nut
efg,1665,0,train,clean_neg,PPS PLASTIC 2 TABLECLOTHS WHITE,"Remote Control Car - 1:18 High Speed Off-Road RC Car, 2.4 GHz 4WD Fast All Terrain RC Drift Vehicle Buggy Monster Truck 4X4 Toy, Gift for Boys"
efg,373,1,train,clean_pos,PAINT FACTORY METTALIC  EFFECT BLACK 200ML,"Paint Factory Black Metallic Paint, 200 ml"
pw,4928,0,train,clean_neg,Prima Non-Stick Milk Pan With Glass Lid 20cm 2.7l,"Remington F6 Aqua Men's Electric Shaver (Cordless, Wet & Dry, 100% Waterproof, Foil Shaver, Pop-up Detail Trimmer, USB Charging, 60-Minute Usage, 90-Minute Charge with 5-Min Quick Charge) F6000"
pw,88,1,train,clean_pos,Hugs & Kisses Baby Wooden Memories Keepsake Box,Hugs & Kisses - Wooden Memories Keepsake Box
pw,203,1,train,clean_pos,Auto Extreme Professional Chrome Effect Spray Paint 400ml,"Auto Extreme Auto Spray Chrome, 400 ml"
pw,4957,0,train,clean_neg,Smart Choice Assorted Christmas Festive Tennis Balls 3 Pack,"90606-4JG0C Tailgate Boot Handle, Replacement for Navara Np300 2015-2019, Replaces 90606-4JG0C"
pw,503,1,train,clean_pos,Just Stationery A4 Assorted Colour A-Z Index Dividers 20 Pack,"Just Stationery 4059/72 A-Z A4 Paper Index Divider, Pack of 20"
pw,2348,0,train,listing_swap,Creepsterz Oily Snakes Squish Toys CDU Assorted,HTI 5050837394815
efg,602,1,train,ambig_pos_packdiff,151 PVC TAPE BLACK 15M PACK OF 2,PVC Tape - Black 3pk
pw,5480,0,train,clean_neg,Bello Picnic Cool Bag 30cm X 18cm X 35cm Assorted Colours,"JoyJoyful Kids Party Bag Fillers for Kids, 12 Packs Animal Blocks Building Sets Gifts for 5 6 7 8 9 10 Boys Girls, Birthday Christmasm Favors Goodie Bags Stuffers, School Rewards Prize Supplies"
pw,132,1,train,clean_pos,Smart Choice Biodegradable Tie Handle Poop Bags 90 Pack,Smart Choice Biodegradable Tie Handle Poop Bags 90 Pack (1)
efg,1870,0,train,clean_neg,BLACKSPUR CHIPBOARD SCREWS 125G 35MM,"2 Pack Bread Maker Paddle for Panasonic SD2500 SD2501 SD2510 SD2511 SD256 SD257 SD255 SD-ZB2502, Flat and Rye Kneading Blade Set Teflon Coated Bread Machine Replacement Part Dough Mixer Accessory"
pw,4149,0,train,clean_neg,Cooper & Pals Squeaky Delicious Ice Lolly Dog Toy Assorted,12V Power Adapter Compatible with BT-Openreach ONT EchoLife-HG612-Fibre-optic-Modem Power Supply 1.5 M 5.5mm x 2.1mm for desk Lamp Atomizer Security Camera Monitor Wireless Routers WIFI IP Audio
efg,573,1,train,clean_pos,151 GORILLA FILLER PLASTER BOARD DRYWALL MESH TAPE 50MX50MM,"Gorilla Filler Plasterboard & Drywall Mesh Tape | Fills Cracks - Easy to Apply (Self Adhesive) | 50mm x 50m (White, 50m)"
pw,187,1,train,clean_pos,"Prima BBQ Skewer With Spring Handle 22"" 6pc","PRIMA BBQ Skewer with Spring Handle 22"" 6Pc"
pw,1034,1,train,clean_pos,Kids Create Make Your Own Festive Figurines 4 Pack,"Kids Create Z-ANXXFEST Craft Kit, multicolor"
pw,113,1,train,clean_pos,Christmas Plastic Candy Cane Decorations 15cm 6 Pack,Christmas Plastic Candy Cane Decorations 14cm - Pack of 6
pw,3861,0,train,clean_neg,Hoot Assorted Colour Modelling Dough Set 4 Pack,"Jiosdo Dough Tools Age 3+ and Cutters, 53 Pcs Dough Tools Sets for Kids Toddlers, Plastic Accessories Clay Extruders Rollers Molds with Storage Box, Creation Educational Toy Gift Set"
efg,2293,0,train,clean_neg,CHARM AIRFRESHENER LILY WHITE FLOW 240ML PK12,"LEGO Classic Creative Build-and-Play Box - Colourful Bricks Set - Build a House, Dog, Fire Engine Toy, Piano Keyboard, Clouds & Rainbow - Arts and Crafts Kit for 5+ Year Old Boys & Girls - 11044"
pw,16,1,train,clean_pos,Tobar Growing Hatching Llamacorn 10cm,Tobar GROWING HATCHING LLAMACORN
pw,308,1,train,clean_pos,Duzzit Micro-Soft Microfibre Multipurpose Cloths 4 Pack,Duzzit Micro-Soft Microfibre Multipurpose Cloths Removes Dirt & Grime Super Absorbent Pack Of 4
pw,4641,0,train,clean_neg,Marksman PU-Coated Builders Gloves Medium,"Straame Pack of 12 or 24 Black Safety Work Gloves, Outdoors PU and Nylon Non-Slip Work Handling Gloves, Good Dexterity Firm Grip Protective Working Gloves Size (Pack of 12 Pair's, M)"
pw,270,1,train,clean_pos,Cotton Tree 100% Cotton Square Facial Pads 40 Pads,"Cotton Tree Cotton Wool Square Facial Pads - Soft & Absorbent (White, Pack of 40)"
pw,3440,0,train,clean_neg,Prima Stainless Steel Mesh Food Strainer 16cm,"Lenor Outdoorable Fabric Conditioner 480 Washes (8x60), Spring Awakening - Ultra Concentrated Freshness"
pw,3708,0,train,clean_neg,Hoot Soft Tennis Set 3pc Assorted Colours,"HJPLPXH Magic Medieval Castle Architecture Building Block Sets, Creative Ideals Gifts for Boys Girls Adults (1555PCS)"
pw,546,1,train,clean_pos,Just Stationery Erasers 5 Pack,JUST STATIONERY 5 White ERASERS
pw,106,1,train,clean_pos,Peppa Pig Peppa's Electronic Flip Mobile Phone,Peppa Pig Flip Phone
pw,841,1,train,clean_pos,151 Super Grease Lubricant Spray Can 150ml,2 x Super Grease Spray Aerosol Lubricate Oil Wood Metal Water Resistant 150ml
pw,7172,0,train,clean_neg,"Prima Stainless Steel Knife Sharpener 8""","Sirdar Hayfield Bonus Aran Crochet Yarn, 100% Acrylic Soft Knitting Wool for Cardigans, Jumpers, Sweaters & Tops - 100g Ball - Lagoon Blue (607) - Single (1 Ball)"
pw,708,1,train,clean_pos,Just Stationery Size G Peel & Seal Bubble Envelopes 240mm X 335mm 3 Pack,"Just-Stationery Size G 240 x 335 mm Bubble Envelope (Pack of 3), 4223"
pw,3563,0,train,clean_neg,DID Black Hair Comb 4 Pack,"Cliselda Acrylic Display Case with Black Base, Assemble Acrylic Display Box, Acrylic Box Curiosity Cube Plastic Dustproof Showcase for Display Collectible Action Figures Toys (30x20x20cm)"
